Q#,Question Text,Grammar Topic,Unit Index,Inferred Level,Video Match Type,Video ID,Video Name,Video URL
35,"A recent government report has warned that __________ we act immediately to reduce pollution, there will be serious consequences for the planet.",Likelihood based on conditions 1,Unit 17,5,Exact Level,ep_977,Pharrell Williams - Happy,https://ejoy-english.com/epic/videoEpic/pharrell-williams/happy/ep_977
36,"If I didn’t have to work tonight, __________",Likelihood based on conditions 2,Unit 18,5,Exact Level,ep_1090,"Fahrenheit 11/9 - Michael Moore, Donald Trump and Roseanne Barr",https://ejoy-english.com/epic/videoEpic/fahrenheit-119/michael-moore-donald-trump-and-roseanne-barr/ep_1090
37,I wish that man __________ tapping his fingers on the table. It’s really annoying me.,Likelihood based on conditions 2,Unit 18,5,Exact Level,ep_1135,BBC News - Obama's Accomplishments,https://ejoy-english.com/epic/videoEpic/bbc-news/obamas-accomplishments/ep_1135
38,I’m aiming __________ a band 7 in IELTS.,Prepositions,Unit 19,5,Exact Level,ep_1126,BBC News - Brexit: The Divorce Papers,https://ejoy-english.com/epic/videoEpic/bbc-news/brexit-divorce-papers/ep_1126
39,Do you have any knowledge __________ how our education system works?,Prepositions,Unit 19,5,Exact Level,ep_1126,BBC News - Brexit: The Divorce Papers,https://ejoy-english.com/epic/videoEpic/bbc-news/brexit-divorce-papers/ep_1126
40,The minister __________ is responsible for education has just resigned.,Relative clauses,Unit 20,6,Exact Level,ep_1261,History Of English - Global English,https://ejoy-english.com/epic/videoEpic/history-english/global-english/ep_1261
41,The University of St Andrews __________ is the oldest university in Scotland.,Relative clauses,Unit 20,6,Exact Level,5672,Understanding Canadian Humor,https://ejoy-english.com/epic/videoEpic/5672
42,Many children these days do not have a healthy diet. __________ is possible that this is because less healthy foods are cheaper than healthy ones.,Ways of organising texts,Unit 21,6,Exact Level,ep_1306,Associated Press - Uzbeks Caught As Neighbors Close Kyrgyz Borders,https://ejoy-english.com/epic/videoEpic/associated-press/uzbeks-caught-neighbors-close-kyrgyz-borders/ep_1306
43,The charity is trying to find ways to save and __________ the world’s endangered animal species.,Ways of organising texts,Unit 21,6,Exact Level,ep_1306,Associated Press - Uzbeks Caught As Neighbors Close Kyrgyz Borders,https://ejoy-english.com/epic/videoEpic/associated-press/uzbeks-caught-neighbors-close-kyrgyz-borders/ep_1306
44,"In the past we threw a lot of our kitchen waste away, but today many items such as plastic bottles and newspapers __________ .",The passive,Unit 22,6,Exact Level,2637,How Is Chocolate Made?,https://ejoy-english.com/epic/videoEpic/2637
45,I can’t pick you up from the station on Wednesday because __________ on that day.,The passive,Unit 22,6,Exact Level,2637,How Is Chocolate Made?,https://ejoy-english.com/epic/videoEpic/2637
46,"These drugs are the best medicine available as a treatment at the moment, __________ they are expensive, unfortunately.",Linking ideas,Unit 23,7,Exact Level,ep_872,The Big Bang Theory - Feelings,https://ejoy-english.com/epic/videoEpic/big-bang-theory/feelings/ep_872
47,Learning a foreign language is important because it helps you to understand other cultures better. __________ it can be a useful skill in many areas of work.,Linking ideas,Unit 23,7,Exact Level,ep_872,The Big Bang Theory - Feelings,https://ejoy-english.com/epic/videoEpic/big-bang-theory/feelings/ep_872
48,__________ I can’t go to the conference as I’ve got to go to Sydney on business.,Showing your position in a text,Unit 24,7,Fallback Level 6,ep_1085,Beyonce - Sweet Dreams,https://ejoy-english.com/epic/videoEpic/beyonce/sweet-dreams/ep_1085
49,__________ I think it’s useful to write an outline of your essay before you start to write the first draft.,Showing your position in a text,Unit 24,7,Fallback Level 6,ep_1085,Beyonce - Sweet Dreams,https://ejoy-english.com/epic/videoEpic/beyonce/sweet-dreams/ep_1085
50,The __________ of dark red spots is one of the first signs of the disease.,Nominalisation in written English,Unit 25,7,Exact Level,59279,"Taking Life Seriously, But Not Too Much",https://ejoy-english.com/epic/videoEpic/59279
51,Nurses usually __________ long hours in the hospital.,Present tenses,Unit 1,1,Exact Level,323,Months & Holidays,https://ejoy-english.com/epic/videoEpic/323
52,My brother __________ for a technology company in Dublin.,Present tenses,Unit 1,1,Exact Level,59356,In The Morning | Adverbs of Frequency,https://ejoy-english.com/epic/videoEpic/59356
53,"In this region, it rarely __________ during the summer months.",Present tenses,Unit 1,1,Exact Level,7199,Feeling Blue,https://ejoy-english.com/epic/videoEpic/feeling-blue/7199
54,The population of the city __________ rapidly this year.,Present tenses,Unit 1,1,Exact Level,323,Months & Holidays,https://ejoy-english.com/epic/videoEpic/323
55,"I can’t talk right now, I __________ dinner for the guests.",Present tenses,Unit 1,1,Exact Level,57737,My Dog Ben - HooplaKidz,https://ejoy-english.com/epic/videoEpic/57737
56,Listen! Someone __________ the piano upstairs.,Present tenses,Unit 1,1,Exact Level,59356,In The Morning | Adverbs of Frequency,https://ejoy-english.com/epic/videoEpic/59356
57,She __________ a car when she lived in the city center.,Past tenses 1,Unit 2,1,Exact Level,10749,Believe in Yourself - Nick Vujicic,https://ejoy-english.com/epic/videoEpic/10749
58,We __________ any problems with the reservation last night.,Past tenses 1,Unit 2,1,Exact Level,6627,Health: Calling Sick Friends,https://ejoy-english.com/epic/videoEpic/6627
59,He __________ time to finish the exam yesterday.,Past tenses 1,Unit 2,1,Exact Level,60322_p1,This 12-Year-Old Has Taken the Art World by Storm,https://ejoy-english.com/epic/videoEpic/60322_p1
60,She __________ live in Paris before she moved to London.,Past tenses 1,Unit 2,1,Exact Level,216,Comparing the Past and the Present,https://ejoy-english.com/epic/videoEpic/216
61,"I __________ think that coffee was bad for you, but now I drink it every day.",Past tenses 1,Unit 2,1,Exact Level,5591,I Relaxed Yesterday,https://ejoy-english.com/epic/videoEpic/5591
62,We __________ have a big garden when we were children.,Past tenses 1,Unit 2,1,Exact Level,5591,I Relaxed Yesterday,https://ejoy-english.com/epic/videoEpic/5591
63,I __________ a book when the lights suddenly went out.,Past tenses 1,Unit 2,1,Exact Level,6627,Health: Calling Sick Friends,https://ejoy-english.com/epic/videoEpic/6627
64,They __________ dinner when the guests arrived.,Past tenses 1,Unit 2,1,Exact Level,10749,Believe in Yourself - Nick Vujicic,https://ejoy-english.com/epic/videoEpic/10749
65,He __________ to work when he saw the accident.,Past tenses 1,Unit 2,1,Exact Level,10749,Believe in Yourself - Nick Vujicic,https://ejoy-english.com/epic/videoEpic/10749
66,I bought the ingredients but I __________ the cake yet.,Present perfect,Unit 3,1,Fallback Level 2,9020,Sesame Street: Outdoors with Jason Mraz,https://ejoy-english.com/epic/videoEpic/9020
67,She wrote the email but she __________ it yet.,Present perfect,Unit 3,1,Fallback Level 2,9020,Sesame Street: Outdoors with Jason Mraz,https://ejoy-english.com/epic/videoEpic/9020
68,We prepared the presentation but we __________ it to the manager yet.,Present perfect,Unit 3,1,Fallback Level 2,9020,Sesame Street: Outdoors with Jason Mraz,https://ejoy-english.com/epic/videoEpic/9020
69,I __________ this movie four times already.,Present perfect,Unit 3,1,Fallback Level 2,9020,Sesame Street: Outdoors with Jason Mraz,https://ejoy-english.com/epic/videoEpic/9020
70,She __________ five books this year.,Present perfect,Unit 3,1,Fallback Level 2,ep_956,Wiz Khalifa ft Charlie Puth - See You Again,https://ejoy-english.com/epic/videoEpic/homeland-i-want-to-tell/ep_956
71,They __________ to Japan twice.,Present perfect,Unit 3,1,Fallback Level 2,9020,Sesame Street: Outdoors with Jason Mraz,https://ejoy-english.com/epic/videoEpic/9020
72,"When we got to the station, the train __________.",Past tenses 2,Unit 4,2,Fallback Level 3,ep_438,The Railway Man - Are You Romantic?,https://ejoy-english.com/epic/videoEpic/railway-man/are-you-romantic/ep_438
73,"By the time I finished my work, everyone else __________ home.",Past tenses 2,Unit 4,2,Fallback Level 3,ep_438,The Railway Man - Are You Romantic?,https://ejoy-english.com/epic/videoEpic/railway-man/are-you-romantic/ep_438
74,She realized she __________ her phone at home when she reached the office.,Past tenses 2,Unit 4,2,Fallback Level 3,ep_691,Country Strong - First Time,https://ejoy-english.com/epic/videoEpic/country-strong/first-time/ep_691
75,He __________ for the company for ten years when he decided to resign.,Past tenses 2,Unit 4,2,Fallback Level 3,ep_691,Country Strong - First Time,https://ejoy-english.com/epic/videoEpic/country-strong/first-time/ep_691
76,They __________ tennis for an hour when it started to rain.,Past tenses 2,Unit 4,2,Fallback Level 3,ep_691,Country Strong - First Time,https://ejoy-english.com/epic/videoEpic/country-strong/first-time/ep_691
77,I __________ for the bus for 20 minutes before it finally arrived.,Past tenses 2,Unit 4,2,Fallback Level 3,ep_691,Country Strong - First Time,https://ejoy-english.com/epic/videoEpic/country-strong/first-time/ep_691
78,I __________ my manager tomorrow morning to discuss my promotion.,Future 1,Unit 5,2,Exact Level,59366,Let's Go Out,https://ejoy-english.com/epic/videoEpic/59366
79,We __________ a party this Saturday so we are busy cleaning.,Future 1,Unit 5,2,Exact Level,9382,Making Travel Plans,https://ejoy-english.com/epic/videoEpic/9382
80,She __________ to New York next week on business.,Future 1,Unit 5,2,Exact Level,5222,How is the Weather Today?,https://ejoy-english.com/epic/videoEpic/5222
81,I __________ a new laptop next month.,Future 1,Unit 5,2,Exact Level,ep_1181,Clash Of Clans - Clash of Clans: Revenge,https://ejoy-english.com/epic/videoEpic/clash-clans/clash-clans-revenge/ep_1181
82,They __________ their grandparents this weekend.,Future 1,Unit 5,2,Exact Level,ep_168,Despicable Me - Ground Rules,https://ejoy-english.com/epic/videoEpic/despicable-me/ground-rules/ep_168
83,She __________ medicine when she graduates.,Future 1,Unit 5,2,Exact Level,ep_1181,Clash Of Clans - Clash of Clans: Revenge,https://ejoy-english.com/epic/videoEpic/clash-clans/clash-clans-revenge/ep_1181
84,"At this time tomorrow, I __________ to Paris.",Future 2,Unit 6,2,Any Level (Found 7),16865_p1,Top Big Bang Theory Moments,https://ejoy-english.com/epic/videoEpic/16865_p1
85,"Don't call me at 8pm, I __________ my favorite show.",Future 2,Unit 6,2,Any Level (Found 7),16865_p1,Top Big Bang Theory Moments,https://ejoy-english.com/epic/videoEpic/16865_p1
86,Next week they __________ on their new project.,Future 2,Unit 6,2,Any Level (Found 7),16865_p1,Top Big Bang Theory Moments,https://ejoy-english.com/epic/videoEpic/16865_p1
87,"By next year, we __________ construction of the bridge.",Future 2,Unit 6,2,Any Level (Found 7),16865_p1,Top Big Bang Theory Moments,https://ejoy-english.com/epic/videoEpic/16865_p1
88,I __________ this book by the time you arrive.,Future 2,Unit 6,2,Any Level (Found 7),16865_p1,Top Big Bang Theory Moments,https://ejoy-english.com/epic/videoEpic/16865_p1
89,"By 2030, the population __________ by 20%.",Future 2,Unit 6,2,Any Level (Found 7),16865_p1,Top Big Bang Theory Moments,https://ejoy-english.com/epic/videoEpic/16865_p1
90,You can choose __________ seat you like.,Countable and uncountable nouns,Unit 7,2,Exact Level,ep_21,The Founder - Drive Thru,https://ejoy-english.com/epic/videoEpic/founder/drive-thru/ep_21
91,"Pass me __________ pen, I just need to write this down.",Countable and uncountable nouns,Unit 7,2,Exact Level,ep_21,The Founder - Drive Thru,https://ejoy-english.com/epic/videoEpic/founder/drive-thru/ep_21
92,She can solve __________ problem you give her.,Countable and uncountable nouns,Unit 7,2,Exact Level,ep_21,The Founder - Drive Thru,https://ejoy-english.com/epic/videoEpic/founder/drive-thru/ep_21
93,There aren't __________ tickets available for the concert.,Countable and uncountable nouns,Unit 7,2,Exact Level,ep_21,The Founder - Drive Thru,https://ejoy-english.com/epic/videoEpic/founder/drive-thru/ep_21
94,We don't have __________ chairs for everyone.,Countable and uncountable nouns,Unit 7,2,Exact Level,ep_21,The Founder - Drive Thru,https://ejoy-english.com/epic/videoEpic/founder/drive-thru/ep_21
95,She doesn't have __________ friends in this city.,Countable and uncountable nouns,Unit 7,2,Exact Level,ep_21,The Founder - Drive Thru,https://ejoy-english.com/epic/videoEpic/founder/drive-thru/ep_21
96,He is __________.,Referring to nouns,Unit 8,3,Exact Level,ep_259,Nine Lives - Cat Whisperer,https://ejoy-english.com/epic/videoEpic/nine-lives/cat-whisperer/ep_259
97,It was __________.,Referring to nouns,Unit 8,3,Exact Level,ep_259,Nine Lives - Cat Whisperer,https://ejoy-english.com/epic/videoEpic/nine-lives/cat-whisperer/ep_259
98,She has __________.,Referring to nouns,Unit 8,3,Exact Level,ep_579,Paranorman - Uh-Oh,https://ejoy-english.com/epic/videoEpic/best-2012-paranorman/uh-oh/ep_579
99,He gave me __________ advice.,Referring to nouns,Unit 8,3,Exact Level,ep_497,Lone Ranger - The Mask,https://ejoy-english.com/epic/videoEpic/lone-ranger/mask/ep_497
100,She provided __________.,Referring to nouns,Unit 8,3,Exact Level,ep_497,Lone Ranger - The Mask,https://ejoy-english.com/epic/videoEpic/lone-ranger/mask/ep_497
101,We need to buy __________.,Referring to nouns,Unit 8,3,Exact Level,ep_259,Nine Lives - Cat Whisperer,https://ejoy-english.com/epic/videoEpic/nine-lives/cat-whisperer/ep_259
102,__________ children received a gift.,Referring to nouns,Unit 8,3,Exact Level,ep_497,Lone Ranger - The Mask,https://ejoy-english.com/epic/videoEpic/lone-ranger/mask/ep_497
103,__________ employees was given a bonus.,Referring to nouns,Unit 8,3,Exact Level,ep_497,Lone Ranger - The Mask,https://ejoy-english.com/epic/videoEpic/lone-ranger/mask/ep_497
104,__________ answers is correct.,Referring to nouns,Unit 8,3,Exact Level,ep_921,Foo Fighters - Run,https://ejoy-english.com/epic/videoEpic/foo-fighters/run/ep_921
105,He built the house __________.,Pronouns and referencing,Unit 9,3,Exact Level,ep_223,Trolls - Crazy Prepared,https://ejoy-english.com/epic/videoEpic/trolls/crazy-prepared/ep_223
106,Did you paint this picture __________?,Pronouns and referencing,Unit 9,3,Exact Level,ep_501,World War Z - Broken Mirror,https://ejoy-english.com/epic/videoEpic/world-war-z/broken-mirror/ep_501
107,The door opened __________.,Pronouns and referencing,Unit 9,3,Exact Level,ep_885,Homeland - I Want To Tell,https://ejoy-english.com/epic/videoEpic/homeland/i-want-tell/ep_885
108,She wore a __________ dress.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_344,Fantastic Four - We're Good,https://ejoy-english.com/epic/videoEpic/fantastic-four/were-good/ep_344
109,It was a __________ day.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_344,Fantastic Four - We're Good,https://ejoy-english.com/epic/videoEpic/fantastic-four/were-good/ep_344
110,He bought a __________ car.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_221,Doctor Strange - The Strange Policy,https://ejoy-english.com/epic/videoEpic/doctor-strange/strange-policy/ep_221
111,The movie was very __________.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_221,Doctor Strange - The Strange Policy,https://ejoy-english.com/epic/videoEpic/doctor-strange/strange-policy/ep_221
112,It was a __________ experience.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_221,Doctor Strange - The Strange Policy,https://ejoy-english.com/epic/videoEpic/doctor-strange/strange-policy/ep_221
113,The results were __________.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_344,Fantastic Four - We're Good,https://ejoy-english.com/epic/videoEpic/fantastic-four/were-good/ep_344
114,The food was __________ delicious.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_344,Fantastic Four - We're Good,https://ejoy-english.com/epic/videoEpic/fantastic-four/were-good/ep_344
115,It was __________ freezing outside.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_221,Doctor Strange - The Strange Policy,https://ejoy-english.com/epic/videoEpic/doctor-strange/strange-policy/ep_221
116,The view was __________ spectacular.,Adjectives and adverbs,Unit 10,3,Exact Level,ep_344,Fantastic Four - We're Good,https://ejoy-english.com/epic/videoEpic/fantastic-four/were-good/ep_344
117,This is __________ building in the city.,Comparing things,Unit 11,3,Exact Level,ep_601,The Avengers - Nick Fury Imprisons Loki,https://ejoy-english.com/epic/videoEpic/avengers/nick-fury-imprisons-loki/ep_601
118,She is __________ student in the class.,Comparing things,Unit 11,3,Exact Level,ep_712,The Company Men - Ethical Scrutiny,https://ejoy-english.com/epic/videoEpic/company-men/ethical-scrutiny/ep_712
119,It was __________ day of my life.,Comparing things,Unit 11,3,Exact Level,ep_119,Blade Runner 2049 - Bigger Than You,https://ejoy-english.com/epic/videoEpic/blade-runner-2049/bigger-you/ep_119
120,__________ students attended the lecture.,Comparing things,Unit 11,3,Exact Level,ep_119,Blade Runner 2049 - Bigger Than You,https://ejoy-english.com/epic/videoEpic/blade-runner-2049/bigger-you/ep_119
121,We have __________ time than yesterday.,Comparing things,Unit 11,3,Exact Level,ep_35,The Darkest Minds - Like Riding a Bike,https://ejoy-english.com/epic/videoEpic/darkest-minds/riding-bike/ep_35
122,There are __________ opportunities now.,Comparing things,Unit 11,3,Exact Level,ep_35,The Darkest Minds - Like Riding a Bike,https://ejoy-english.com/epic/videoEpic/darkest-minds/riding-bike/ep_35
123,She is waiting __________ the bus stop.,The noun phrase,Unit 12,4,Exact Level,ep_138,Valerian and the City of a Thousand Planets - Welcome,https://ejoy-english.com/epic/videoEpic/valerian-and-city-thousand-planets/welcome/ep_138
124,There is a spider __________ the ceiling.,The noun phrase,Unit 12,4,Exact Level,ep_559,Bachelorette - That's Insane,https://ejoy-english.com/epic/videoEpic/bachelorette/thats-insane/ep_559
125,He lives __________ London.,The noun phrase,Unit 12,4,Exact Level,ep_1329,IGN News - Playstation 4 Teaser Rocks YouTube,https://ejoy-english.com/epic/videoEpic/ign-news/playstation-4-teaser-rocks-youtube/ep_1329
126,The man __________ next to me is sleeping.,The noun phrase,Unit 12,4,Exact Level,ep_1350,Associated Press - Wagering Around The Olympics,https://ejoy-english.com/epic/videoEpic/associated-press/wagering-around-olympics/ep_1350
127,The email __________ yesterday was important.,The noun phrase,Unit 12,4,Exact Level,ep_559,Bachelorette - That's Insane,https://ejoy-english.com/epic/videoEpic/bachelorette/thats-insane/ep_559
128,Provide a list of students __________ the exam.,The noun phrase,Unit 12,4,Exact Level,ep_588,Rock of Ages - Now Go,https://ejoy-english.com/epic/videoEpic/rock-ages/now-go/ep_588
129,We __________ reach the summit despite the storm.,Modals 1,Unit 13,4,Exact Level,ep_950,Rock City - Locked Away,https://ejoy-english.com/epic/videoEpic/rock-city/locked-away/ep_950
130,I __________ find my keys eventually.,Modals 1,Unit 13,4,Exact Level,ep_297,"Hail, Caesar! - Baird Whitlock Slapped",https://ejoy-english.com/epic/videoEpic/hail-caesar/baird-whitlock-slapped/ep_297
131,He __________ pass the test on his third attempt.,Modals 1,Unit 13,4,Exact Level,ep_368,Far From The Madding Crowd - Sheep,https://ejoy-english.com/epic/videoEpic/far-madding-crowd/sheep/ep_368
132,You are late. You __________ the bus.,Modals 1,Unit 13,4,Exact Level,ep_985,Take It On - One Direction Talk About How They Got Into Music,https://ejoy-english.com/epic/videoEpic/take-it/one-direction-talk-about-how-they-got-music/ep_985
133,The street is wet. It __________ last night.,Modals 1,Unit 13,4,Exact Level,ep_932,for KING & COUNTRY - Ceasefire,https://ejoy-english.com/epic/videoEpic/king-country/ceasefire/ep_932
134,She ignored me. She __________ me.,Modals 1,Unit 13,4,Exact Level,ep_29,The Truman Show - Interview,https://ejoy-english.com/epic/videoEpic/truman-show/interview/ep_29
135,What __________ to apply for the visa?,Modals 2,Unit 14,4,Exact Level,ep_610,The Hunger Games - Here To Help,https://ejoy-english.com/epic/videoEpic/hunger-games/here-help/ep_610
136,How much __________ pay for the ticket?,Modals 2,Unit 14,4,Exact Level,ep_276,High-Rise - Party,https://ejoy-english.com/epic/videoEpic/high-rise/party/ep_276
137,When __________ submit the report?,Modals 2,Unit 14,4,Exact Level,ep_1323,Destiny - New Beginnings,https://ejoy-english.com/epic/videoEpic/destiny/new-beginnings/ep_1323
138,You __________ smoke in the hospital.,Modals 2,Unit 14,4,Exact Level,ep_1323,Destiny - New Beginnings,https://ejoy-english.com/epic/videoEpic/destiny/new-beginnings/ep_1323
139,Members __________ enter this area.,Modals 2,Unit 14,4,Exact Level,ep_75,"I, Tonya - Spilled Milk",https://ejoy-english.com/epic/videoEpic/i-tonya/spilled-milk/ep_75
140,We __________ use phones during the exam.,Modals 2,Unit 14,4,Exact Level,8860,Ringo Starr on Life as a Beatle,https://ejoy-english.com/epic/videoEpic/8860
141,The teacher __________ the students to study hard.,Reported speech,Unit 15,4,None,,,
142,She __________ him to see a doctor.,Reported speech,Unit 15,4,None,,,
143,They __________ us to arrive early.,Reported speech,Unit 15,4,None,,,
144,"__________ the weather forecast, it will rain tomorrow.",Reported speech,Unit 15,4,None,,,
145,"__________ the instructions, you must shake the bottle.",Reported speech,Unit 15,4,None,,,
146,"__________ statistics, sales have increased.",Reported speech,Unit 15,4,None,,,
147,He invited __________ the party.,Verb + verb patterns,Unit 16,5,Exact Level,ep_1084,Miley Cyrus - Party In The U.S.A.,https://ejoy-english.com/epic/videoEpic/miley-cyrus/party-usa/ep_1084
148,She reminded __________ the door.,Verb + verb patterns,Unit 16,5,Exact Level,ep_1187,Business Strategy - Visualising Your Business Model,https://ejoy-english.com/epic/videoEpic/business-strategy/visualising-your-business-model/ep_1187
149,We expected __________ better.,Verb + verb patterns,Unit 16,5,Exact Level,ep_1111,BBC News - Uber Loses London Licence,https://ejoy-english.com/epic/videoEpic/bbc-news/uber-loses-london-licence/ep_1111
